epoch,lr,loss,dice,val_loss,val_dice
0,0.001,1.1655221836907523,0.17523779944424697,1.172034255919918,0.17487902108179657
1,0.001,1.121439224197751,0.18701820750600923,1.1015880377061906,0.1613998396364425
2,0.001,1.0955601533253987,0.18456608939934027,1.073486093551882,0.14002741980752872
3,0.001,1.0610187905175346,0.19795939254775438,1.0612537207141999,0.1469775294286977
4,0.001,1.0350116718383062,0.21519240930058992,1.008494427127223,0.20070733409059172
5,0.001,1.0038726329803467,0.23051256751929947,0.9568814846777147,0.24741603964914335
6,0.001,0.9636382403827849,0.25825552058689677,0.9281380061180361,0.28805565834615254
7,0.001,0.9353816878227961,0.27832638007456745,0.9238665757640716,0.3171700966108949
8,0.001,0.8984369749114627,0.29604343015257667,0.84959884612791,0.3344713556164495
9,0.001,0.8805509238016038,0.30828248095941696,0.8679944968992664,0.35476162223981395
10,0.001,0.8466726796967643,0.3381273243083437,0.8349329060123812,0.3706432292094484
11,0.001,0.8378837165378389,0.34186952424260636,0.836069235878606,0.32079422985838046
12,0.001,0.8296821316083273,0.3516425005169116,0.7754540212692753,0.3939470224344405
13,0.001,0.8009616902896336,0.3794293707067369,0.784613928487224,0.40226324282758297
14,0.001,0.7993046584583464,0.3803404132923263,0.7606701985482247,0.4093870030944908
15,0.001,0.76901718548366,0.4002566420305912,0.7268134201726606,0.43800583365840123
16,0.001,0.7756566064698356,0.39776602384581805,0.7236963145194515,0.4327652942949446
17,0.001,0.7641684810320536,0.40541040717266325,0.7496841184554561,0.4426388628132839
18,0.001,0.7480686023121789,0.425901569689116,0.7391965735343194,0.42061616402793106
19,0.001,0.7317296522004264,0.4285782252086419,0.7272100544744923,0.4587305092115784
20,0.001,0.7615558817273095,0.4144391800850271,0.7053254669712435,0.4345131510448627
21,0.001,0.7221014414514814,0.4411681905603905,0.7237393260002136,0.4404711337613443
22,0.001,0.7330671406927562,0.4281027806143295,0.7285831916716791,0.46123599068924453
23,0.001,0.7071711250713894,0.4620592235316129,0.6838879960198556,0.48080908375137527
24,0.001,0.7194714489437285,0.44311679663649695,0.6197677389267953,0.5204166405777185
25,0.001,0.6953239440917969,0.4550946964988083,0.6448154132212361,0.5065156457355822
26,0.001,0.6998330581755865,0.460163127272139,0.6857817038413017,0.4809642152962413
27,0.001,0.6810723713466099,0.47907706540956857,0.6105162751290106,0.5200592951234896
28,0.001,0.6968149940172831,0.4581178521836074,0.6290317302750003,0.5116831435324007
29,0.001,0.6765455915814355,0.4882932626433118,0.6722632281241878,0.503875470927403
30,0.001,0.6763836854980105,0.47821362423700053,0.5951028543133889,0.5374552329090971
