epoch,lr,loss,dice,val_loss,val_dice
0,0.001,1.0134156048297882,0.36066025942476,1.011206070582072,0.344901082296988
1,0.001,0.9784537702798843,0.3786437892677455,1.013069788614909,0.3462787057326935
2,0.001,0.9496115297079086,0.3921489944874764,1.0146055618921916,0.3473623570451523
3,0.001,0.9043352156877518,0.42112182752509547,1.0163047711054485,0.3487207028678782
4,0.001,0.8955486714839935,0.42553349869949497,1.019018570582072,0.35095120994258405
5,0.001,0.8643541485071182,0.44257486398157014,1.0246573289235432,0.3553788131592099
6,0.001,0.8288358449935913,0.46331601249763643,1.0335863828659058,0.3569138562947736
7,0.001,0.8102509528398514,0.47271458953115464,1.042243520418803,0.36466361772422307
8,0.001,0.7899834662675858,0.48512048455076046,1.059605876604716,0.37582174354801823
9,0.001,0.7733576893806458,0.4926808548227391,1.0820517142613728,0.38386885296101747
10,0.001,0.7449337691068649,0.5100473611273071,1.0880716641743977,0.3878350872445407
11,0.001,0.7427905797958374,0.5135679142451643,1.1184478600819905,0.4027038713073549
12,0.001,0.7203132808208466,0.5251937555425787,1.1008877356847127,0.4045511981424952
13,0.001,0.6971299946308136,0.5386389719057881,1.0870645840962727,0.40782212318892186
14,0.001,0.6294215470552444,0.5781810503106783,1.0734848578770955,0.4149697863416151
15,0.001,0.649820014834404,0.5636796704506856,1.0441536903381348,0.4260931025823591
16,0.001,0.6249082237482071,0.5810278058097018,0.9885616699854533,0.4147922396339188
17,0.001,0.6034109443426132,0.5919244754181036,0.9558445811271667,0.4236784596583656
18,0.001,0.6106066703796387,0.587518048132009,0.9119744698206583,0.4306613739054435
19,0.001,0.5618281066417694,0.6174369947877766,0.8932188550631205,0.4129102261831105
20,0.001,0.5475158095359802,0.6214985505962523,0.8799655437469482,0.4011157723710668
21,0.001,0.5449308753013611,0.6252790153819633,0.8425492246945699,0.41351028146868085
22,0.001,0.5054940581321716,0.6510078481793089,0.7918318708737692,0.44137625653383467
23,0.001,0.5004305988550186,0.6534866265570727,0.6776091456413269,0.5170278242645011
24,0.001,0.48716112971305847,0.6616680034901627,0.5886728962262472,0.580927026716248
25,0.001,0.47062238305807114,0.6734575832107934,0.5015958944956461,0.6477814638289856
26,0.001,0.4763447791337967,0.6712387042459885,0.4740006625652313,0.6657220784837274
27,0.001,0.44820311665534973,0.6886482608710679,0.4529027044773102,0.6761531839887702
28,0.001,0.452057808637619,0.6855508795634299,0.41655706365903217,0.7037903302400742
29,0.001,0.42323019355535507,0.7033162029003814,0.40245498220125836,0.7173407276850178
30,0.001,0.4178554564714432,0.7074019662803095,0.39738861719767254,0.723212335116404
31,0.001,0.4031004458665848,0.718358891291843,0.40285739302635193,0.720912562100251
32,0.001,0.41655082255601883,0.7088153211704914,0.5643158952395121,0.6486564338412414
33,0.001,0.38668791949748993,0.7257804832527179,0.38317147890726727,0.7320614689885868
34,0.001,0.41166582703590393,0.7133493468105256,0.35716721415519714,0.7477788929550774
35,0.001,0.38280853629112244,0.7313685147606126,0.3460531532764435,0.7538789322194054
36,0.001,0.3810669556260109,0.7300032283684238,0.33360981941223145,0.7596416776667185
37,0.001,0.36786941438913345,0.7401209640045475,0.3406588633855184,0.7532210579046618
38,0.001,0.3436431959271431,0.7568040320197859,0.34027660886446637,0.7547076574874142
39,0.001,0.3548847585916519,0.7493655210020707,0.33435723185539246,0.7622288654784422
40,0.001,0.32024188339710236,0.7716634507543647,0.3562455674012502,0.7508465025181662
41,0.001,0.3440333530306816,0.7570113205501265,0.3084106643994649,0.7790108059226917
42,0.001,0.33481426537036896,0.762819459945972,0.33918002247810364,0.7566652991565302
43,0.001,0.3294592723250389,0.7669148810214989,0.30742834011713666,0.7798913011412418
44,0.001,0.31269848346710205,0.7795109665652682,0.30780569712320965,0.7818370687436503
45,0.001,0.3129288777709007,0.7755790687947786,0.31623169779777527,0.7762097675705067
46,0.001,0.31195297092199326,0.7767559887218334,0.2884521385033925,0.7925406650661803
47,0.001,0.3024671748280525,0.7858823885741647,0.2841232319672902,0.7938512530794548
48,0.001,0.30112043023109436,0.786705228882443,0.2789219319820404,0.7976122197368388
49,0.001,0.29531414061784744,0.7913856018755969,0.27106374502182007,0.8037536732408076
50,0.001,0.2970587909221649,0.7876197784589242,0.26565006375312805,0.8081801482142491
51,0.001,0.3090796545147896,0.7855930525193706,0.29033859570821124,0.793474004433103
52,0.001,0.2957599237561226,0.7902895927427784,0.26919065912564594,0.8063172688038308
53,0.001,0.31009648740291595,0.7820298176299779,0.261329064766566,0.8114868037279138
54,0.001,0.2793240621685982,0.8019173243908434,0.263675719499588,0.810062008683795
55,0.001,0.28830476477742195,0.7978681681895449,0.25912006696065265,0.8127920247674658
56,0.001,0.2800980359315872,0.8012587102597104,0.24840288360913595,0.8203647322128592
57,0.001,0.2846500277519226,0.7989895285683952,0.25589419901371,0.8158454463376681
58,0.001,0.27938446775078773,0.8010449523721251,0.24756136039892832,0.8216810152112188
59,0.001,0.27593541145324707,0.8045337778976347,0.2446307142575582,0.8237021794816689
60,0.001,0.2557513266801834,0.8177151459048395,0.24772115548451742,0.8215697270381961
61,0.001,0.27462391182780266,0.8062355643710932,0.2460376520951589,0.8236021802992882
62,0.001,0.25922365486621857,0.8171732775220584,0.24285363654295603,0.8259309394445999
63,0.001,0.26453612744808197,0.8138303022386659,0.2420330892006556,0.8263738871544094
64,0.001,0.24765471369028091,0.8233896973355939,0.23714743554592133,0.8294204198814222
65,0.001,0.2549720034003258,0.8167817290545807,0.23136776189009348,0.8334736992383238
66,0.001,0.2562592662870884,0.8150646391083913,0.22753592332204184,0.8355990017051779
67,0.001,0.256330993026495,0.8181235195596774,0.22514830032984415,0.837304353200223
68,0.001,0.24432507157325745,0.8271460256964668,0.22389658292134604,0.838541872729356
69,0.001,0.2511287108063698,0.8229179923345562,0.22243552406628928,0.8401391516192094
70,0.001,0.24832165613770485,0.821130734342042,0.22007004419962564,0.8416946556728239
71,0.001,0.24866868183016777,0.8238324721561012,0.21867357194423676,0.8425772869667493
72,0.001,0.23159455507993698,0.8331932492838222,0.2174831579128901,0.8430330719740754
73,0.001,0.24289637804031372,0.8271713053611729,0.21597706278165182,0.8437069672104246
74,0.001,0.2470426745712757,0.8228420457600335,0.2152418295542399,0.8439955085687285
75,0.001,0.24787429720163345,0.8238172218964323,0.21601104736328125,0.8434363502297847
76,0.001,0.24544000625610352,0.8263185184274171,0.2153871456782023,0.8436757300194494
77,0.001,0.2613351345062256,0.8174308416813484,0.21329176425933838,0.8453110927802486
78,0.001,0.23937097564339638,0.8282347108297523,0.21370799839496613,0.844971649884623
79,0.001,0.23342635110020638,0.8345830112115161,0.21416703363259634,0.8448593762717568
80,0.001,0.241642776876688,0.8289089695902077,0.2130328764518102,0.8458432081087502
81,0.001,0.24108348414301872,0.8275714029748835,0.21105953554312387,0.8470369408223468
82,0.001,0.25470950827002525,0.8196408606603516,0.2108089029788971,0.8475188777830641
83,0.001,0.24078702926635742,0.8303901434929156,0.21034633119901022,0.8475635053233085
84,0.001,0.22883348539471626,0.8368558442965315,0.20967541635036469,0.8478984302088909
85,0.001,0.22716988623142242,0.8372658562928457,0.20918700595696768,0.8483379403614437
86,0.001,0.2279605269432068,0.8361059454649178,0.20984070003032684,0.8478900861731193
87,0.001,0.23554089665412903,0.8332429977692967,0.20877413948376974,0.8487428775080293
88,0.001,0.2255517989397049,0.838565785114459,0.20832219223181406,0.8489761492048423
89,0.001,0.22762346267700195,0.8368816385324966,0.2085905522108078,0.848938660106788
90,0.001,0.24548044428229332,0.8256443927733751,0.20898101230462393,0.8490679622749058
91,0.001,0.23239799588918686,0.8317283172294434,0.2085507313410441,0.8493707982683699
92,0.001,0.22402150928974152,0.8378044094129337,0.20816531280676523,0.8495440895464528
93,0.001,0.21865831688046455,0.8428948952009122,0.20830226441224417,0.8492784524664522
94,0.001,0.22467171400785446,0.8401053992395027,0.20784297585487366,0.849520934513141
95,0.001,0.2378048300743103,0.8325290956750204,0.2079158773024877,0.8495517957867663
96,0.001,0.22841006889939308,0.8363583811670993,0.20818435152371725,0.8494304998948454
97,0.001,0.2236936390399933,0.8408842864429468,0.20790328085422516,0.8494481085333306
98,0.001,0.22416525334119797,0.8410449895586214,0.2079718659321467,0.8494343488695894
99,0.001,0.23406817391514778,0.8317093521039067,0.20853436986605325,0.8490435295111188
